title,label
"BPOM Rilis Daftar Produk Obat Tradisional yang Mengandung Bahan Kimia Berbahaya",real
"Presiden Jokowi Terima Kunjungan Kehormatan dari Perdana Menteri Australia",real
"Polisi Bekuk Sindikat Pencurian Kendaraan Bermotor Lintas Provinsi",real
"Bank Indonesia Kembali Gelar Ekspedisi Rupiah Berdaulat",real
"Kominfo Ajak Masyarakat Perangi Hoaks dan Ujaran Kebencian",real
"Pemerintah Targetkan Penurunan Angka Stunting di Bawah 14 Persen",real
"Atlet Panjat Tebing Indonesia Raih Medali Emas di Kejuaraan Dunia",real
"Kementerian Perindustrian Dorong Pengembangan Industri Halal",real
"Kapolri Jenderal Listyo Sigit Prabowo Lantik Sejumlah Kapolda Baru",real
"Realisasi Penerimaan Pajak hingga Akhir Mei Capai 40 Persen dari Target",real
"Kementerian ESDM Tetapkan Harga Batu Bara Acuan Bulan Juni",real
"Kecelakaan Tunggal di Tol Jagorawi, Satu Orang Meninggal Dunia",real
"Pemerintah Luncurkan Program Bantuan untuk Pelaku UMKM Terdampak Bencana",real
"TNI AL Gagalkan Penyelundupan Narkotika Jenis Sabu di Perairan Batam",real
"Bappenas Susun Rencana Pembangunan Jangka Menengah Nasional 2025-2029",real
"Anggota DPR Minta Pemerintah Tinjau Ulang Kebijakan Kenaikan UKT",real
"Harga Telur dan Daging Ayam di Pasar Tradisional Stabil",real
"Pemerintah Siapkan Regulasi untuk Ekonomi Hijau",real
"Pelita Jaya Juarai Liga Bola Basket Indonesia (IBL) 2024",real
"Kemenag Umumkan Kuota Haji Indonesia Tahun Depan Tidak Berubah",real
"Antisipasi Kemarau, Kementerian Pertanian Siapkan Pompa Air untuk Sawah",real
"Polisi Tetapkan Tersangka Baru dalam Kasus Investasi Bodong",real
"Presiden Jokowi Ajak Seluruh Pihak Jaga Stabilitas Politik",real
"Program Makan Siang Gratis Akan Diuji Coba di Beberapa Daerah",real
"Indeks Keyakinan Konsumen (IKK) Mengalami Peningkatan",real
"Pembangunan Jalur Kereta Ganda di Lintas Selatan Jawa Terus Dikebut",real
"Kemenlu Pastikan Tidak Ada WNI Jadi Korban dalam Konflik di Timur Tengah",real
"Luhut Binsar Pandjaitan Bertemu Investor China Bahas Proyek Baterai Listrik",real
"KPK Geledah Kantor Dinas Pekerjaan Umum Terkait Kasus Suap",real
"Sektor Manufaktur Indonesia Tunjukkan Ekspansi pada Bulan Mei",real
"Pesawat Latih Jatuh di Kawasan BSD, Tiga Orang Tewas",real
"Kementerian Koperasi dan UKM Dorong Produk Lokal Masuk Pasar Global",real
"BNPB Ingatkan Potensi Bencana Hidrometeorologi di Musim Pancaroba",real
"Pemerintah dan Bank Indonesia Jaga Stabilitas Harga Pangan",real
"Atlet Angkat Besi Eko Yuli Irawan Lolos ke Olimpiade Paris 2024",real
"Kementerian Kelautan dan Perikanan Tangkap Kapal Asing Ilegal",real
"Komisi III DPR Pertanyakan Perkembangan Kasus Djoko Tjandra ke Kejaksaan Agung",real
"Proyek Pembangunan MRT Jakarta Fase 2A Terus Berlanjut",real
"Menteri BUMN Tunjuk Direktur Utama Baru untuk Pelindo",real
"Kebakaran Hutan dan Lahan (Karhutla) Kembali Terjadi di Riau",real
"Presiden Minta Kepala Daerah Permudah Izin Penyelenggaraan Acara",real
"Polri Luncurkan Aplikasi Pengaduan Masyarakat Versi Terbaru",real
"Gaikindo Prediksi Penjualan Mobil Tahun Ini Tumbuh 5 Persen",real
"Kementerian Sosial Salurkan Bantuan Adaptif untuk Korban Bencana",real
"PSSI Resmi Naturalisasi Pemain Keturunan untuk Perkuat Timnas",real
"Otoritas Jasa Keuangan (OJK) Cabut Izin Usaha Perusahaan Pialang Asuransi",real
"Telkom Indonesia Bangun Pusat Data Baru di Cikarang",real
"Mendikbudristek Nadiem Makarim Hapus Tes Calistung dari Syarat Masuk SD",real
"Arus Mudik Lebaran 2025 Diprediksi Meningkat Dibanding Tahun Lalu",real
"Pemerintah Jamin Ketersediaan Elpiji 3 Kg Selama Idul Adha",real
"Badan Siber dan Sandi Negara (BSSN) Deteksi Serangan Siber ke Institusi Pemerintah",real
"DPR Sahkan RUU tentang Kesehatan Menjadi Undang-Undang",real
"Menteri Investasi Umumkan Realisasi Investasi Kuartal Pertama 2025",real
"KAI Tambah Jadwal Perjalanan Kereta untuk Antisipasi Lonjakan Penumpang",real
"Pemerintah Daerah Diminta Optimalkan Pendapatan Asli Daerah (PAD)",real
"Timnas Voli Putra Indonesia Raih Peringkat Ketiga di SEA V.League",real
"Kementerian Perdagangan Rilis Aturan Baru Terkait Impor Barang Elektronik",real
"Pengamat Ekonomi Menilai Pertumbuhan Ekonomi Indonesia Cukup Solid",real
"Dirjen Pajak Suryo Utomo Ingatkan Wajib Pajak Segera Lapor SPT Tahunan",real
"Kemenag Buka Seleksi Petugas Haji untuk Musim Haji Berikutnya",real
"Pembangunan Istana Wakil Presiden di IKN Resmi Dimulai",real
"Polisi Bongkar Pabrik Ekstasi Rumahan di Tangerang",real
"Kementerian Lingkungan Hidup dan Kehutanan (KLHK) Gelar Aksi Tanam Pohon Massal",real
"Ekspor Produk Perikanan Indonesia Tunjukkan Peningkatan",real
"Mahkamah Agung Lantik Sejumlah Hakim Agung Baru",real
"Pemerintah Berkomitmen Wujudkan Net Zero Emission pada Tahun 2060",real
"Liga 1 Musim 2024/2025 Akan Gunakan Teknologi VAR",real
"Kementerian Dalam Negeri Evaluasi Kinerja Penjabat Kepala Daerah",real
"Perum Bulog Pastikan Stok Cadangan Beras Pemerintah Cukup hingga Akhir Tahun",real
"Kecelakaan antara Kereta Api dan Minibus di perlintasan, 4 Tewas",real
"Menteri Agama Yaqut Cholil Qoumas Bertolak ke Arab Saudi untuk Cek Persiapan Haji",real
"Badan Pusat Statistik (BPS) Akan Laksanakan Sensus Ekonomi Lanjutan",real
"Satgas Judi Online Blokir Lebih dari 2 Juta Konten Perjudian",real
"Proyek Strategis Nasional (PSN) di Sektor Transportasi Jadi Prioritas",real
"Pemerintah Pertimbangkan Kenaikan Gaji untuk Aparatur Sipil Negara (ASN)",real
"Atlet Para-atletik Indonesia Borong Medali di ASEAN Para Games",real
"Kementerian Pertahanan Beli 12 Pesawat Tempur Baru dari Perancis",real
"PLN Rampungkan Proyek Jaringan Transmisi Listrik di Pulau Sumatera",real
"BNN Gagalkan Peredaran 50 Kg Sabu dari Jaringan Internasional",real
"Presiden Jokowi Pimpin Rapat Terbatas tentang Polusi Udara",real
"Pemerintah Dorong Percepatan Sertifikasi Halal bagi Produk UMKM",real
"Indeks Pembangunan Manusia (IPM) Indonesia Terus Meningkat",real
"Komisi Pemberantasan Korupsi (KPK) Tetapkan Kepala Daerah sebagai Tersangka Korupsi",real
"Menteri Perhubungan Budi Karya Sumadi Cek Kelaikan Bus Pariwisata",real
"Pemerintah Siapkan Insentif untuk Kendaraan Listrik",real
"Tim Robotika Indonesia Raih Juara Umum di Kontes Robot Internasional",real
"Kementerian Pendidikan Fokus pada Peningkatan Kualitas Guru",real
"Jokowi Terima Gelar Adat dari Masyarakat Dayak di Kalimantan",real
"Polda Metro Jaya Terapkan Rekayasa Lalu Lintas Saat Jam Pulang Kerja",real
"Kementerian Keuangan Terbitkan Surat Utang Negara Ritel Seri Terbaru",real
"Perhimpunan Hotel dan Restoran Indonesia (PHRI) Optimis Okupansi Hotel Naik",real
"Kementerian Luar Negeri Evakuasi WNI dari Negara Konflik",real
"PSM Makassar Wakili Indonesia di AFC Cup Musim Depan",real
"Kementerian Pertanian Kembangkan Varietas Padi Tahan Kekeringan",real
"Kapolri Meminta Jajaran Lalu Lintas Tidak Lakukan Pungli",real
"Pemerintah Targetkan Rasio Elektrifikasi Mencapai 100 Persen",real
"Peluncuran Satelit Satria-1 Sukses Dilaksanakan di Florida, AS",real
"Menteri Sosial Tri Rismaharini Blusukan ke Kantong-kantong Kemiskinan",real
"Debat Kandidat Pilkada Jakarta Akan Digelar Sebanyak Tiga Kali",real
"Badan Geologi Naikkan Status Gunung Ibu menjadi Level Awas",real
"Kementerian Perdagangan dan Shopee Berkolaborasi untuk Promosi Produk Lokal",real
"TNI dan Polri Gelar Patroli Skala Besar untuk Jaga Keamanan",real
"Pemerintah Buka Pendaftaran Calon Aparatur Sipil Negara (CASN) 2025",real
"Atlet Selancar Ombak Rio Waida Pastikan Tiket ke Olimpiade",real
"Kementerian BUMN Rombak Susunan Direksi PT KAI",real
"Arus Balik Libur Panjang, Lalu Lintas di Tol Cikampek Padat",real
"Presiden Jokowi Hadiri Konferensi Tingkat Tinggi (KTT) G20 di Brazil",real
"Polisi Amankan Aset Milik Tersangka Kasus Penipuan Robot Trading",real
"Kementerian Agama Gelar Sidang Isbat Awal Dzulhijjah",real
"Pemerintah dan Oposisi Sepakat untuk Jaga Kondusivitas Politik",real
"Cabang Olahraga Panahan Sumbang Medali Emas untuk Indonesia",real
"Kementerian PUPR Selesaikan Pembangunan Jembatan Gantung di Pedesaan",real
"BI Optimis Pertumbuhan Ekonomi Kuartal II Akan Lebih Tinggi",real
"Pawai Budaya Meriahkan Perayaan Ulang Tahun Kota Jakarta",real
"KPK Periksa Saksi Ahli dalam Kasus Korupsi Proyek E-KTP",real
"Menteri Koordinator Bidang Perekonomian Airlangga Hartarto Bertemu Pengusaha Jepang",real
"Harga Daging Sapi di Pasar Mengalami Kenaikan Jelang Idul Adha",real
"Pemerintah Provinsi Jawa Barat Luncurkan Aplikasi Layanan Publik Terpadu",real
"Tim SAR Gabungan Lanjutkan Pencarian Korban Kapal Tenggelam",real
"Kementerian Kominfo Ancam Blokir Platform X (Twitter) jika Langgar Aturan",real
"Kenaikan Harga Tiket Pesawat Dikeluhkan oleh Masyarakat",real
"Pemerintah Beri Penghargaan kepada Desa-desa Berprestasi",real
"Persib Bandung Juarai Liga 1 Indonesia Setelah Kalahkan Madura United",real
"Kementerian Ketenagakerjaan Gelar Bursa Kerja di Berbagai Daerah",real
"Proyek Pembangunan Ibu Kota Nusantara (IKN) Tahap Pertama Hampir Selesai",real
"Presiden Jokowi Tunjuk Kepala Otorita IKN yang Baru",real
"Polri Ungkap Jaringan Peredaran Uang Palsu di Jakarta",real
"Kementerian Kesehatan Distribusikan Vaksin Polio ke Seluruh Provinsi",real
"Ekspor Manufaktur Indonesia Tumbuh Positif di Awal Tahun",real
"Komisi Pemilihan Umum (KPU) Tetapkan Jadwal Pilkada Serentak 2024",real
"Pemerintah dan Swasta Kolaborasi dalam Pengembangan Energi Terbarukan",real
"Atlet Wushu Indonesia, Edgar Xavier Marvelo, Raih Medali Perak",real
"Kementerian Pariwisata dan Ekonomi Kreatif Gelar Festival Film di Labuan Bajo",real
"Badan Narkotika Nasional (BNN) Musnahkan Barang Bukti Narkoba",real
"Jalan Tol Solo-Yogyakarta-Kulon Progo Mulai Beroperasi Sebagian",real
"Menteri Pendidikan Umumkan Hasil Seleksi Nasional Masuk Perguruan Tinggi Negeri (SNMPTN)",real
"Pemerintah Naikkan Cukai Hasil Tembakau (CHT) Rata-rata 10 Persen",real
"TNI Angkatan Udara Gelar Latihan Tempur di Laut Natuna Utara",real
"Kementerian Perhubungan Uji Coba Bus Listrik untuk Transportasi Umum",real
"Survei LSI: Tingkat Kepuasan terhadap Kinerja Pemerintah Meningkat",real
"Kementerian Agama Tetapkan Biaya Perjalanan Ibadah Haji (Bipih) 2026",real
"Proyek Kereta Cepat Jakarta-Surabaya Masuk Tahap Studi Kelayakan",real
"Presiden Jokowi Resmikan Pabrik Baterai Kendaraan Listrik di Batang",real
"Polri Berlakukan Sistem Ganjil-Genap di Jalur Wisata Saat Libur Panjang",real
"Kementerian Perindustrian Beri Bantuan Mesin untuk Industri Kecil Menengah (IKM)",real
"Timnas Sepak Bola Wanita Indonesia Jalani Pemusatan Latihan",real
"Kementerian Desa, PDTT Luncurkan Program Digitalisasi Desa",real
"Mahkamah Konstitusi (MK) Bacakan Putusan Sengketa Pilpres 2024",real
"Pemerintah Gelar Pasar Murah di Berbagai Wilayah untuk Tekan Inflasi",real
"Kementerian Investasi Permudah Perizinan Usaha Melalui Sistem OSS",real
"Atlet Dayung Indonesia Berhasil Amankan Tiket Olimpiade",real
"Kementerian Koperasi dan UKM Fasilitasi Sertifikasi Halal Gratis",real
"PLN Operasikan Pembangkit Listrik Tenaga Surya (PLTS) Terapung Cirata",real
"BNPB Kirim Bantuan Logistik untuk Korban Banjir di Sumatera Barat",real
"Presiden Jokowi Ajak Generasi Muda Kuasai Teknologi Digital",real
"Polisi Tangkap Komplotan Penipu Online dengan Modus Tawaran Kerja",real
"Kementerian Kelautan dan Perikanan (KKP) Tebar Benih Ikan di Waduk",real
"Ekspor Kopi Indonesia ke Mesir Meningkat Drastis",real
"Dewan Perwakilan Rakyat (DPR) Gelar Rapat Paripurna Pembukaan Masa Sidang",real
"Pemerintah Canangkan Gerakan Nasional Bangga Buatan Indonesia",real
"Ganda Putra Fajar/Rian Juarai All England 2025",real
"Kementerian Dalam Negeri Minta Pemda Percepat Realisasi Anggaran",real
"Jasa Raharja Serahkan Santunan kepada Ahli Waris Korban Kecelakaan",real
"Kementerian Luar Negeri (Kemlu) Pulangkan WNI yang Terdampar di Luar Negeri",real
"Pemerintah Resmikan Operasional Pelabuhan Patimban di Subang",real
"Polisi Sita Ratusan Botol Minuman Keras Ilegal dalam Operasi Pekat",real
"Kementerian Pertanian Dorong Petani Gunakan Pupuk Organik",real
"Timnas Hoki Es Indonesia Ukir Sejarah di Kejuaraan Asia",real
"Kementerian ESDM Pastikan Pasokan Gas untuk Industri Aman",real
"Pemerintah Siapkan Skema Perlindungan Sosial bagi Pekerja Migran",real
"KAI Services Luncurkan Menu Makanan Baru di Kereta Api",real
"Presiden Jokowi Teken Peraturan Pemerintah tentang Gaji ke-13 PNS",real
"Polda Jawa Tengah Ungkap Kasus Produksi Oli Palsu Skala Besar",real
"Kementerian Kesehatan Kampanyekan Gerakan Masyarakat Hidup Sehat (Germas)",real
"Neraca Perdagangan Indonesia Kembali Catat Surplus pada April 2025",real
"Komisi Yudisial (KY) Periksa Hakim yang Diduga Langgar Kode Etik",real
"Pemerintah Pusat dan Daerah Sinkronkan Data Penerima Bantuan Sosial",real
"Atlet Karate Indonesia, Cok Istri Agung, Raih Medali Emas di SEA Games",real
"Kementerian Perhubungan Tambah Rute Penerbangan Perintis ke Daerah 3T",real
"OJK Dorong Literasi Keuangan di Kalangan Pelajar dan Mahasiswa",real
"Pembangunan Sirkuit Mandalika untuk MotoGP Terus Dikebut",real
"Menteri Keuangan Paparkan Risiko Ekonomi Global di Hadapan DPR",real
"Kementerian Agama dan BAZNAS Salurkan Bantuan untuk Palestina",real
"Presiden Jokowi Ajak Masyarakat Lestarikan Budaya dan Kesenian Lokal",real
"Polri Berhasil Identifikasi Pelaku Pengeboman di Makassar",real
"Kementerian Ketenagakerjaan Buka Posko Pengaduan Tunjangan Hari Raya (THR)",real
"Utang Luar Negeri Indonesia Tercatat Menurun",real
"DPRD DKI Jakarta Setujui Anggaran Pendapatan dan Belanja Daerah (APBD) 2026",real
"Pemerintah Tetapkan Harga Eceran Tertinggi (HET) untuk Minyak Goreng Curah",real
"Timnas U-16 Indonesia Menang Telak di Laga Uji Coba",real
"Kementerian PUPR Bangun Rusun untuk Pekerja Industri di Batang",real
"Badan Informasi Geospasial (BIG) Luncurkan Peta Dasar NKRI Terbaru",real
"KPK Tahan Bupati nonaktif Penajam Paser Utara",real
"Menteri Perdagangan Lepas Ekspor Produk UMKM ke Pasar Eropa",real
"Pemerintah Akan Bangun 10 Kawasan Ekonomi Khusus (KEK) Baru",real
"Pebalap Mario Aji Tampil Impresif di Moto3 Spanyol",real
"Kementerian Pertanian Berhasil Kendalikan Wabah Penyakit Mulut dan Kuku (PMK)",real
"Polisi Lalu Lintas Gelar Operasi Keselamatan di Seluruh Indonesia",real
"Kementerian Pendidikan Berikan Beasiswa Unggulan untuk Mahasiswa Berprestasi",real
"Presiden Jokowi Menerima Surat Kepercayaan dari Duta Besar Negara Sahabat",real
"Polda Banten Gagalkan Penyelundupan Benih Bening Lobster senilai Miliaran Rupiah",real
"Kementerian Sosial Berikan Bantuan kepada Penyandang Disabilitas",real
"Pertumbuhan Kredit Perbankan Menunjukkan Tren Positif",real
"Pemerintah Daerah Jawa Timur Gelar Festival Kuliner Tradisional",real
"Kementerian Komunikasi dan Informatika (Kominfo) Selesaikan Pembangunan BTS di Daerah Terpencil",real
"Atlet Anggar Indonesia Lolos Kualifikasi Olimpiade",real
"Kementerian Perindustrian Fasilitasi Sertifikasi Tingkat Komponen Dalam Negeri (TKDN)",real
"Pemerintah Optimalkan Pemanfaatan Dana Desa untuk Pembangunan",real
"Panglima TNI dan Kapolri Tinjau Pengamanan di Papua",real
"Kementerian Perhubungan Resmikan Terminal Tipe A di Sumatera Utara",realUya Kuya Minta Maaf kepada Rakyat Indonesia: Beri Saya Kesempatan",real
"VIDEO: Gibran Jenguk Korban Luka Unjuk Rasa",real
"VIDEO: TransJakarta dan MRT Gratis Sepekan",real
"FOTO: Unjuk Rasa Meluas ke Bali, NTB dan Kalteng",real
"Muhammadiyah Minta Penyampaian Aspirasi Tak Dinodai Kekerasan",real
"VIDEO: Situasi Terkini Unjuk Rasa di Gedung Sate",real
"Strategi Brilian Arbi Saat Menang Race 1 AP250 ARRC Mandalika",real
"PBNU: Kami Mengajak Masyarakat Lebih Tenang",real
"Buntut Demo, Kepala Daerah Dilarang ke Luar Negeri & Bikin Acara Mewah",real
"VIDEO: Situasi Terkini Unjuk Rasa di Kawasan Kwitang",real
"Massa Datangi Grahadi Surabaya, Minta yang Ditahan Polisi Dibebaskan",real
"Eko Patrio: Saya Mohon Maaf Atas Perbuatan yang Saya Lakukan",real
"Hasil Super League: Kejutan, PSIM Menang di Kandang Malut United",real
"Usai FPDIP, Gerindra Juga Siap Tinjau Ulang Tunjangan Tak Pantas DPR",real
"Jangan Lupa Besok ke Transmart, Diskon Belanja 50% + 20% Ada Lagi",real
"Massa Di DPRD Jabar Mulai Dipukul Mundur Polisi",real
"VIDEO: Kelompok Orang Tak Dikenal Datangi Rumah Ahmad Sahroni",real
"Israel Setiap Hari Rata-rata Bunuh 28 Anak di Gaza",real
"Gedung DPRD hingga Kantor Polisi di Kediri Dibakar",real
"Hasil Liga Inggris: Chelsea Kalahkan Fulham, Ada Gol Dianulir",real
"Diskon Besar di Transmart Full Day Sale, Sepeda Listrik Rp3,6 Juta",real
"Kapolda Jatim Janji Bebaskan Pedemo yang Ditangkap",real
"VIDEO: Imbas Aksi Demo pada Layanan MRT",real
"Mako Brimob Kwitang Ricuh Lagi, Petasan-Gas Air Mata Berbalasan",real
"FOTO: Rumah Anggota DPR Ahmad Sahroni di Priok Digeruduk",real
"Prabowo Undang 16 Ormas Islam ke Hambalang, Bahas Isu Kebangsaan",real
"Staf Humas DPRD Makassar Tewas Demi Selamatkan Rekan Terjebak Api",real
"3 Pertandingan Super League Ditunda karena Situasi Tak Kondusif",real
"Kaca Rumah Sahroni Dipecahkan, Mobil Dirusak, Barang-barang Dijarah",real
"Unjuk Rasa Massa HMI Tuntut Ahmad Sahroni Dipecat dari NasDem",real
"FPDIP Minta Uang Rumah Rp50 Juta, Fasilitas Tak Pantas DPR Disetop",real
"Presiden Kolombia: Hewan Buas pun Tak Akan Lakukan Hal seperti Israel",real
"Update BPBD Makassar: Mahasiswa Tewas, Total Korban Jiwa 4 Orang",real
"Mahasiswa Kupang, Bakar Ban di Polda NTT Protes Pelindasan Driver Ojol",real
"VIDEO: Demonstrasi di Polda Bali Sudah Terkendali",real
"Sambil Bakar Ban di NasDem Tower, HMI Desak NasDem Pecat Ahmad Sahroni",real
"Kerugian Imbas Pembakaran Gedung DPRD Makassar Tembus Rp253 M",real
"Fraksi PDIP Minta Tunjangan Perumahan Anggota DPR Dihentikan",real
"Terus Ditekan, Alasan Joehari Ayub Mundur dari FAM Malaysia?",real
"Sabtu Malam, Massa Masih Bertahan di DPRD Bandung",real
"Sabtu Malam, Massa Masih Bertahan di DPRD Bandung",real
"Mulai Senin, Transjakarta Perbaiki Halte yang Rusak Imbas Demo",real
"Ricuh Demo di Polda Bali, 22 Orang Ditangkap dan 8 Polisi Terluka",real
"VIDEO: Massa Geruduk Rumah Anggota DPR Sahroni di Priok",real
"AC sampai Smart TV Diobral di Transmart Besok, Cek Harganya",real
"VIDEO: Situasi Terkini Pascademo di Makassar",real
"Prancis hingga Jepang Wanti-wanti Warganya di RI Buntut Demo",real
"Polda Jabar Amankan Sejumlah Orang di Demo Depan Gedung DPRD",real
"Bentrok Pecah di Mapolres Surabaya, Buntut Provokasi Massa Misterius",real
"Massa Masih Berkumpul di Rumah Ahmad Sahroni di Priok",real
"Tanggapan Listyo Sigit soal Isu Diminta Mundur dari Kapolri",real
"Priok Tak Kondusif, Mikrotrans JAK01 Tak Beroperasi",real
"Besok Transmart Full Day Sale Datang Lagi, Bagi-bagi Diskon Seharian",real
"Sinopsis The Condemned, Bioskop Trans TV 30 Agustus 2025",real
"VIDEO: Situasi Terkini Pascademo di Kawasan Kwitang",real
"Jordi Amat Berharap Jakarta Kembali Aman",real
"VIDEO: Penampakan Gedung DPRD Makassar yang Dibakar Saat Demo Ricuh",real
"Rumah Anggota DPR Ahmad Sahroni Di Priok Digeruduk Massa",real
"Kapolri Pastikan dalam Seminggu 7 Brimob Siap Jalani Sidang Etik",real
"VIDEO: Massa Datangi Rumah Anggota DPR Ahmad Sahroni",real
"Filipina Imbau Warganya di RI Waspada dan Hindari Kerumunan",real
"Pramono: CFD Tetap Digelar Besok, Kalau Tidak Ada Hal Luar Biasa",real
"Massa Kembali Serbu DPRD Jabar, Situasi Jalan Diponegoro Mencekam",real
"Hasil Kejuaraan Dunia: Langkah Putri KW Terhenti usai Kalah dari Akane",real
"VIDEO: Pembersihan Kantor DPRD Jawa Barat Pasca Aksi Unjuk Rasa",real
"FOTO: Penampakan Kerusakan Fasilitas Publik Buntut Demo di Jakarta",real
"Sopir Pribadi Diduga Bunuh Anak Majikan di Pondok Pinang Jaksel",real
"Pramono Instruksikan Perbaikan Halte-halte yang Dibakar dan Rusak",real
"Puan Tawarkan Bantuan Motor untuk Keluarga Affan Kurniawan",real
"Polda Jabar Tetapkan Siaga I Buntut Demo Ricuh",real
"Polda Jabar Tetapkan Siaga I Buntut Demo Ricuh",real
"Pakuwon Mall Jogja Tutup Sementara usai Aksi Massa di Polda DIY",real
"Massa Kembali Demo DPR, Lalu Lintas Tersendat",real
"VIDEO: Halte TransJakarta Senen Dibakar, Tinggal Rangka",real
"Pandam XIV Hasanuddin Klaim Makassar Sudah Kembali Kondusif",real
"Here We Go: Lille Sepakat Rekrut Calvin Verdonk dari NEC",real
"Media Asing Soroti Demo Solidaritas Affan Meluas ke Banyak Daerah",real
"Kapolri: Arahan Presiden untuk Tindakan Anarkis TNI/Polri Harus Tegas",real
"Usai Malaysia, Negara Tetangga Ini Juga Minta Warganya di RI Waspada",real
"Pemain Madura United Berduka atas Kematian Affan: Sulit Bicara Bola",real
"VIDEO: Kelompok Tidak Dikenal Bakar Pos Polantas",real
